Date,Total Pos, Total Long,Total Short,Dollar PnL,Cumulative PnL,Total Market Value,Net Market Value 
20060621,-162000,91300,241700,-125972,6.62545e+09,-1.25576e+09,-6.0758e+06
20060622,-166100,93300,252000,40105,6.63378e+09,-1.21048e+09,-6.20387e+06
20060623,-183500,93800,260800,-41303,6.62803e+09,-1.28754e+09,-6.60895e+06
20060626,-169700,105200,231000,-48851,6.61667e+09,-1.19152e+09,-6.2862e+06
20060627,-144900,124000,218400,96179,6.63193e+09,-1.06087e+09,-4.89403e+06
20060628,-120000,133700,215300,-11729,6.63052e+09,-8.3133e+08,-3.61156e+06
20060629,-71500,157700,179900,-40487,6.62756e+09,-4.26253e+08,-1.35166e+06
20060630,-24300,182700,135600,31388,6.63629e+09,-7.69627e+07,891487
20060703,49200,225200,110600,77748,6.65088e+09,5.64935e+08,3.92646e+06
20060705,121700,270400,84300,-49059,6.63963e+09,1.11082e+09,6.39581e+06
20060706,169500,302500,65900,15202,6.64398e+09,1.48227e+09,8.45371e+06
20060707,181300,305600,74300,-134628,6.61939e+09,1.54856e+09,8.53642e+06
20060710,177500,306100,89700,-61195,6.61059e+09,1.56148e+09,8.4166e+06
20060711,176700,288000,100500,41204,6.61589e+09,1.50677e+09,8.82776e+06
20060712,157000,260000,131200,-25937,6.61019e+09,1.20956e+09,8.15554e+06
20060713,89700,221100,175300,-101532,6.59247e+09,5.32349e+08,5.82401e+06
20060714,38200,174800,205500,-14403,6.59187e+09,4.17875e+07,4.0711e+06
20060717,-44800,143500,254300,-54384,6.58169e+09,-6.06193e+08,601300
20060718,-122400,115200,302400,80414,6.5997e+09,-1.15347e+09,-2.41625e+06
20060719,-151200,109900,313200,-149564,6.5704e+09,-1.37698e+09,-3.83783e+06
20060720,-169500,103100,310000,176842,6.6045e+09,-1.45474e+09,-4.263e+06
20060721,-201300,119600,322800,145405,6.62962e+09,-1.72153e+09,-5.36614e+06
20060724,-175500,145000,308300,-153554,6.60058e+09,-1.52438e+09,-4.60836e+06
20060725,-121200,174100,294100,-24818,6.5966e+09,-9.56159e+08,-2.6642e+06
20060726,-104900,178400,285600,34867,6.60622e+09,-8.20449e+08,-1.91687e+06
20060727,-68000,193300,252800,-33759,6.59893e+09,-5.30666e+08,-1.08048e+06
20060728,-8700,232400,197300,-37780,6.58856e+09,-2.06645e+08,783667
20060731,48800,258200,174300,-68663,6.58024e+09,2.96057e+08,2.34193e+06
20060801,37900,264300,170500,50931,6.59064e+09,2.13315e+08,1.9706e+06
20060802,58700,274900,161800,-1511,6.58826e+09,3.97193e+08,2.70984e+06
20060803,99600,292300,143400,-26197,6.58108e+09,8.1171e+08,4.37905e+06
20060804,119500,291600,137000,18303,6.58235e+09,9.87261e+08,4.87518e+06
20060807,122900,293500,126800,7796,6.58311e+09,1.06202e+09,5.27907e+06
